Layer,Prior,Encoder,Iteration,Train_loss,Test_loss,Train_RE,Test_RE,Train_KL,Test_KL,Time,Weights,FID_score
fc,Flow2,RandomNetTrue,5,-4.2798,5.9385,9.3739,19.5748,13.6536,13.6363,0.9946480000000001,9584,139.09682033408927
fc,Flow2,RandomNetFalse,1,2.9164,21.3932,12.451,30.9258,9.5347,9.5326,0.93169,9456,164.5233640284746
fc,Flow2,RandomNetFalse,2,2.6072,19.6242,12.1397,29.1549,9.5325,9.5307,0.94391,9456,155.67752143601882
fc,Flow2,RandomNetFalse,3,2.4166,20.1291,11.9506,29.6607,9.534,9.5316,0.9668340000000001,9456,167.6748858210942
fc,Flow2,RandomNetFalse,4,2.9061,21.64,12.4497,31.1793,9.5435,9.5393,0.938894,9456,170.45233487245187
fc,Flow2,RandomNetFalse,5,2.7398,21.126,12.2666,30.6466,9.5268,9.5206,0.947194,9456,168.26286822229443
fc,Flow2,RKSFalse,1,0.6319,16.4724,9.9609,25.7845,9.329,9.3121,0.928884,9456,145.39224753638328
fc,Flow2,RKSFalse,2,0.7361,16.4776,10.0816,25.8043,9.3455,9.3267,0.918992,9456,142.41435670595246
fc,Flow2,RKSFalse,3,0.6697,16.1819,10.0135,25.5078,9.3438,9.326,0.9046199999999999,9456,142.80978580679516
fc,Flow2,RKSFalse,4,0.5669,16.4647,9.8731,25.7507,9.3062,9.286,0.9171400000000001,9456,140.41552922405165
fc,Flow2,RKSFalse,5,0.6879,16.8197,10.0285,26.1444,9.3406,9.3247,0.931288,9456,142.60891274589852
fc,Flow6,NormalTrue,1,-39.3932,-37.0655,5.4437,7.7392,44.8369,44.8047,2.016306,15152,54.06530023103011
fc,Flow6,NormalTrue,2,-39.3253,-36.7168,5.5484,8.1237,44.8738,44.8405,2.0314120000000004,15152,54.83603214136505
fc,Flow6,NormalTrue,3,-39.3745,-36.9791,5.4623,7.8235,44.8368,44.8026,2.008854,15152,55.71120689517579
fc,Flow6,NormalTrue,4,-39.3887,-36.7209,5.4594,8.0924,44.8481,44.8133,2.004708,15152,54.269883341736886
fc,Flow6,NormalTrue,5,-39.4941,-37.0029,5.3394,7.8125,44.8335,44.8154,2.021998,15152,54.49084408540645
fc,Flow6,RandomNetTrue,1,-34.3942,-26.2606,10.3186,18.4007,44.7128,44.6613,1.959552,12848,112.78732917170004
fc,Flow6,RandomNetTrue,2,-34.4739,-26.0625,10.2379,18.6004,44.7118,44.6629,1.946332,12848,113.74896053650849
fc,Flow6,RandomNetTrue,3,-34.5467,-26.5835,10.1782,18.1011,44.7249,44.6846,1.960972,12848,110.97575844515649
fc,Flow6,RandomNetTrue,4,-34.3126,-25.3023,10.3976,19.3474,44.7102,44.6496,1.984836,12848,110.00244516751152
fc,Flow6,RandomNetTrue,5,-34.5365,-26.0895,10.1754,18.574,44.7119,44.6636,1.952334,12848,113.65033760390645
fc,Flow6,RandomNetFalse,1,-26.0344,-6.0473,12.2709,31.6367,38.3054,37.684,1.8578700000000001,12720,111.65115065002291
fc,Flow6,RandomNetFalse,2,-26.4936,-8.5838,11.9468,29.2943,38.4404,37.8781,1.85913,12720,113.22727375455207
fc,Flow6,RandomNetFalse,3,-26.5025,-7.5853,11.9998,30.3213,38.5024,37.9066,1.90005,12720,107.97523304301902
fc,Flow6,RandomNetFalse,4,-26.9507,-9.1539,11.8085,29.0777,38.7592,38.2316,1.859805,12720,91.42410675630504
fc,Flow6,RandomNetFalse,5,-26.5583,-7.1113,12.5347,31.5478,39.093,38.6591,1.8803424999999998,12720,111.27611423716334
fc,Flow6,RKSFalse,1,-21.3817,-3.535,9.8775,25.0811,31.2592,28.6161,1.864478,12720,113.54430074146934
fc,Flow6,RKSFalse,2,-21.516,-2.5646,9.9769,26.3413,31.4929,28.9059,1.8642600000000003,12720,139.3676760605719
fc,Flow6,RKSFalse,3,-21.2338,-2.2658,10.0895,26.4356,31.3233,28.7014,1.8570119999999999,12720,120.0117800342166
fc,Flow6,RKSFalse,4,-21.617,-2.4752,10.0277,26.5646,31.6447,29.0398,1.8686340000000001,12720,117.66263461427133
fc,Flow6,RKSFalse,5,-21.3028,-1.8277,10.0841,26.9241,31.3869,28.7518,1.8429159999999996,12720,113.0284574456204
